Colorado,La Plata,"56,221"
Colorado,Larimer,"356,899"
Colorado,Las Animas,"14,506"
Colorado,Lincoln,"5,701"
Colorado,Logan,"22,409"
Colorado,Mesa,"154,210"
Colorado,Mineral,769
Colorado,Moffat,"13,283"
Colorado,Montezuma,"26,183"
Colorado,Montrose,"42,758"
Colorado,Morgan,"29,068"
Colorado,Otero,"18,278"
Colorado,Ouray,"4,952"
Colorado,Park,"18,845"
Colorado,Phillips,"4,265"
Colorado,Pitkin,"17,767"
Colorado,Prowers,"12,172"
Colorado,Pueblo,"168,424"
Colorado,Rio Blanco,"6,324"
Colorado,Rio Grande,"11,267"
Colorado,Routt,"25,638"
Colorado,Saguache,"6,824"
Colorado,San Juan,728
Colorado,San Miguel,"8,179"
Colorado,Sedgwick,"2,248"
Colorado,Summit,"31,011"
Colorado,Teller,"25,388"
Colorado,Washington,"4,908"
Colorado,Weld,"324,492"
Colorado,Yuma,"10,019"
Connecticut,Fairfield,"943,332"
Connecticut,Hartford,"891,720"
Connecticut,Litchfield,"180,333"
Connecticut,Middlesex,"162,436"
Connecticut,New Haven,"854,757"
Connecticut,New London,"265,206"
Connecticut,Tolland,"150,721"
Connecticut,Windham,"116,782"
Delaware,Kent,"180,786"
Delaware,New Castle,"558,753"
Delaware,Sussex,"234,225"
District of Columbia,District of Columbia,"705,749"
Florida,Alachua,"269,043"
Florida,Baker,"29,210"
Florida,Bay,"174,705"
Florida,Bradford,"28,201"
Florida,Brevard,"601,942"
Florida,Broward,"1,952,778"
Florida,Calhoun,"14,105"
Florida,Charlotte,"188,910"
Florida,Citrus,"149,657"
Florida,Clay,"219,252"
Florida,Collier,"384,902"
Florida,Columbia,"71,686"
Florida,DeSoto,"38,001"
Florida,Dixie,"16,826"
Florida,Duval,"957,755"
Florida,Escambia,"318,316"
Florida,Flagler,"115,081"
Florida,Franklin,"12,125"
Florida,Gadsden,"45,660"
Florida,Gilchrist,"18,582"
Florida,Glades,"13,811"
Florida,Gulf,"13,639"
Florida,Hamilton,"14,428"
Florida,Hardee,"26,937"
Florida,Hendry,"42,022"
Florida,Hernando,"193,920"
Florida,Highlands,"106,221"
Florida,Hillsborough,"1,471,968"
Florida,Holmes,"19,617"
Florida,Indian River,"159,923"
Florida,Jackson,"46,414"
Florida,Jefferson,"14,246"
Florida,Lafayette,"8,422"
Florida,Lake,"367,118"
Florida,Lee,"770,577"
Florida,Leon,"293,582"
Florida,Levy,"41,503"
Florida,Liberty,"8,354"
Florida,Madison,"18,493"
Florida,Manatee,"403,253"
Florida,Marion,"365,579"
Florida,Martin,"161,000"
Florida,Miami-Dade,"2,716,940"
Florida,Monroe,"74,228"
Florida,Nassau,"88,625"
Florida,Okaloosa,"210,738"
Florida,Okeechobee,"42,168"
Florida,Orange,"1,393,452"
Florida,Osceola,"375,751"
